0,9,8,44
0,7,4,84
0,19,10,11
0,19,9,28
0,19,3,13
0,5,12,30
0,5,11,39
0,6,7,56
0,4,3,20
0,10,4,70
0,10,3,76
0,14,9,12
0,13,10,40
0,11,9,79
0,19,12,35
0,19,8,86
0,7,6,85
0,3,7,18
1,16,4,17
1,9,4,57
1,1,11,86
1,1,11,80
1,1,11,61
1,6,7,49
1,13,5,24
1,13,7,43
1,14,5,89
1,11,6,58
1,7,9,51
1,3,12,37
1,3,4,63
2,1,10,14
2,12,4,80
2,10,3,24
2,14,4,75
2,14,9,90
2,14,8,70
2,13,7,70
2,13,10,11
2,19,6,100
2,7,12,22
2,3,3,70
3,16,3,97
3,7,9,64
3,19,12,76
3,6,3,86
3,6,7,46
3,17,6,96
3,14,12,95
3,13,4,87
3,13,12,48
3,13,8,58
3,11,12,19
3,19,10,77
3,7,9,96
4,16,11,25
4,19,7,93
4,1,5,75
4,5,9,49
4,13,8,12
4,4,9,68
4,12,10,80
4,17,4,96
4,17,6,16
4,17,7,35
4,11,12,97
4,19,11,77
4,7,3,44
4,3,5,98
4,3,3,43
5,16,10,10
5,16,5,41
5,19,5,13
5,19,5,72
5,19,4,26
5,5,12,46
5,13,12,86
5,4,9,73
5,12,9,98
5,12,9,78
5,14,9,39
5,13,4,10
5,13,5,28
5,14,10,21
5,11,9,80
5,7,11,77
5,3,12,81
6,16,6,96
6,9,9,48
6,9,4,30
6,19,10,82
6,19,12,82
6,1,5,98
6,6,10,71
6,13,6,97
6,12,12,64
6,12,3,77
6,17,12,52
6,14,3,100
6,14,8,25
6,13,4,100
6,14,4,52
6,11,5,85
6,19,5,72
6,19,9,86
6,19,7,48
6,19,6,70
6,3,8,92
7,16,8,44
7,16,4,68
7,9,6,71
7,19,5,32
7,6,12,28
7,6,7,28
7,6,7,54
7,6,7,29
7,12,8,43
7,17,11,93
7,14,4,70
7,19,12,96
7,7,9,83
7,7,7,34
7,3,4,72
8,5,10,11
8,13,10,23
8,13,12,83
8,13,8,34
8,10,7,25
8,17,6,29
8,14,12,38
8,13,4,37
8,7,5,35
8,3,12,62
9,9,11,94
9,7,9,14
9,19,7,39
9,19,11,22
9,1,9,25
9,1,7,66
9,4,3,79
9,4,3,42
9,12,4,51
9,12,7,74
9,17,3,64
9,13,8,79
9,11,3,15
9,19,12,24
9,7,8,85
9,3,9,90
9,3,5,72
